[K0a1|[]]
[K11a80|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [22, 10, 1, 9], [6, 17, 7, 18], [14, 7, 15, 8], [18, 14, 19, 13], [8, 20, 9, 19], [16, 21, 17, 22], [20, 15, 21, 16]]]
[K11a81|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [22, 10, 1, 9], [18, 13, 19, 14], [14, 7, 15, 8], [6, 20, 7, 19], [16, 22, 17, 21], [20, 16, 21, 15], [8, 17, 9, 18]]]
[K11a82|[[4, 2, 5, 1], [10, 4, 11, 3], [22, 11, 1, 12], [12, 5, 13, 6], [18, 13, 19, 14], [16, 8, 17, 7], [6, 18, 7, 17], [20, 15, 21, 16], [14, 19, 15, 20], [8, 21, 9, 22], [2, 10, 3, 9]]]
[K11a83|[[4, 2, 5, 1], [10, 4, 11, 3], [22, 11, 1, 12], [12, 5, 13, 6], [6, 21, 7, 22], [16, 8, 17, 7], [18, 14, 19, 13], [20, 16, 21, 15], [14, 20, 15, 19], [8, 18, 9, 17], [2, 10, 3, 9]]]
[K11a84|[[4, 2, 5, 1], [10, 4, 11, 3], [22, 11, 1, 12], [12, 5, 13, 6], [18, 15, 19, 16], [16, 8, 17, 7], [6, 18, 7, 17], [20, 13, 21, 14], [14, 19, 15, 20], [8, 21, 9, 22], [2, 10, 3, 9]]]
[K11a85|[[4, 2, 5, 1], [10, 4, 11, 3], [22, 11, 1, 12], [12, 5, 13, 6], [6, 21, 7, 22], [16, 8, 17, 7], [20, 14, 21, 13], [18, 16, 19, 15], [14, 20, 15, 19], [8, 18, 9, 17], [2, 10, 3, 9]]]
[K11a86|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [16, 8, 17, 7], [22, 19, 1, 20], [20, 13, 21, 14], [14, 21, 15, 22], [18, 10, 19, 9], [6, 16, 7, 15], [8, 18, 9, 17]]]
[K11a87|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [18, 10, 19, 9], [22, 19, 1, 20], [20, 13, 21, 14], [14, 21, 15, 22], [6, 18, 7, 17], [16, 8, 17, 7], [8, 16, 9, 15]]]
[K11a88|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 14, 21, 13], [16, 7, 17, 8], [6, 19, 7, 20], [18, 9, 19, 10], [8, 17, 9, 18], [22, 16, 1, 15], [14, 22, 15, 21]]]
[K11a89|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [16, 8, 17, 7], [22, 14, 1, 13], [14, 22, 15, 21], [6, 16, 7, 15], [20, 18, 21, 17], [18, 9, 19, 10], [8, 19, 9, 20]]]
[K11a90|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 16, 21, 15], [16, 7, 17, 8], [6, 19, 7, 20], [18, 9, 19, 10], [22, 14, 1, 13], [8, 17, 9, 18], [14, 22, 15, 21]]]
[K11a91|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 10, 21, 9], [22, 14, 1, 13], [14, 22, 15, 21], [6, 20, 7, 19], [16, 7, 17, 8], [18, 15, 19, 16], [8, 17, 9, 18]]]
[K11a92|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [22, 10, 1, 9], [6, 22, 7, 21], [16, 7, 17, 8], [18, 13, 19, 14], [20, 15, 21, 16], [14, 19, 15, 20], [8, 17, 9, 18]]]
[K11a93|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [22, 10, 1, 9], [6, 22, 7, 21], [16, 7, 17, 8], [20, 13, 21, 14], [18, 15, 19, 16], [14, 19, 15, 20], [8, 17, 9, 18]]]
[K11a94|[[4, 2, 5, 1], [10, 4, 11, 3], [12, 6, 13, 5], [18, 8, 19, 7], [20, 14, 21, 13], [22, 16, 1, 15], [14, 22, 15, 21], [16, 20, 17, 19], [6, 18, 7, 17], [8, 12, 9, 11], [2, 10, 3, 9]]]
[K11a95|[[4, 2, 5, 1], [10, 4, 11, 3], [12, 6, 13, 5], [18, 8, 19, 7], [22, 14, 1, 13], [20, 16, 21, 15], [16, 20, 17, 19], [14, 22, 15, 21], [6, 18, 7, 17], [8, 12, 9, 11], [2, 10, 3, 9]]]
[K11a96|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [22, 14, 1, 13], [14, 9, 15, 10], [18, 7, 19, 8], [20, 18, 21, 17], [16, 22, 17, 21], [8, 15, 9, 16], [6, 19, 7, 20]]]
[K11a97|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 14, 21, 13], [16, 9, 17, 10], [18, 7, 19, 8], [8, 17, 9, 18], [6, 19, 7, 20], [22, 16, 1, 15], [14, 22, 15, 21]]]
[K11a98|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 16, 21, 15], [16, 9, 17, 10], [18, 7, 19, 8], [8, 17, 9, 18], [6, 19, 7, 20], [22, 14, 1, 13], [14, 22, 15, 21]]]
[K11a99|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 8, 21, 7], [22, 17, 1, 18], [18, 13, 19, 14], [14, 21, 15, 22], [16, 10, 17, 9], [8, 16, 9, 15], [6, 20, 7, 19]]]
[K11a100|[[4, 2, 5, 1], [12, 6, 13, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 8, 21, 7], [22, 14, 1, 13], [18, 22, 19, 21], [16, 10, 17, 9], [14, 18, 15, 17], [8, 16, 9, 15], [6, 20, 7, 19]]]
[K11a101|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 11, 21, 12], [12, 7, 13, 8], [8, 19, 9, 20], [18, 14, 19, 13], [14, 6, 15, 5], [6, 18, 7, 17], [22, 16, 1, 15], [16, 22, 17, 21], [2, 10, 3, 9]]]
[K11a102|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [14, 6, 15, 5], [6, 14, 7, 13], [20, 16, 21, 15], [18, 9, 19, 10], [8, 19, 9, 20], [22, 18, 1, 17], [16, 22, 17, 21]]]
[K11a103|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [14, 6, 15, 5], [6, 14, 7, 13], [20, 18, 21, 17], [18, 9, 19, 10], [8, 19, 9, 20], [22, 16, 1, 15], [16, 22, 17, 21]]]
[K11a104|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [16, 13, 17, 14], [14, 5, 15, 6], [6, 15, 7, 16], [20, 10, 21, 9], [22, 18, 1, 17], [18, 22, 19, 21], [8, 20, 9, 19]]]
[K11a105|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 6, 15, 5], [16, 8, 17, 7], [20, 11, 21, 12], [22, 18, 1, 17], [18, 22, 19, 21], [6, 16, 7, 15], [12, 19, 13, 20], [8, 14, 9, 13], [2, 10, 3, 9]]]
[K11a106|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 13, 19, 14], [14, 5, 15, 6], [16, 7, 17, 8], [6, 15, 7, 16], [8, 17, 9, 18], [22, 20, 1, 19], [20, 12, 21, 11], [12, 22, 13, 21], [2, 10, 3, 9]]]
[K11a107|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 13, 19, 14], [14, 5, 15, 6], [6, 17, 7, 18], [16, 7, 17, 8], [8, 15, 9, 16], [22, 20, 1, 19], [20, 12, 21, 11], [12, 22, 13, 21], [2, 10, 3, 9]]]
[K11a108|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 11, 21, 12], [14, 5, 15, 6], [18, 15, 19, 16], [16, 8, 17, 7], [6, 18, 7, 17], [8, 19, 9, 20], [22, 13, 1, 14], [12, 21, 13, 22], [2, 10, 3, 9]]]
[K11a109|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 11, 21, 12], [14, 5, 15, 6], [6, 19, 7, 20], [16, 8, 17, 7], [18, 16, 19, 15], [8, 18, 9, 17], [22, 13, 1, 14], [12, 21, 13, 22], [2, 10, 3, 9]]]
[K11a110|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 13, 21, 14], [14, 5, 15, 6], [18, 15, 19, 16], [16, 8, 17, 7], [6, 18, 7, 17], [8, 19, 9, 20], [22, 11, 1, 12], [12, 21, 13, 22], [2, 10, 3, 9]]]
[K11a111|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 13, 21, 14], [14, 5, 15, 6], [6, 19, 7, 20], [16, 8, 17, 7], [18, 16, 19, 15], [8, 18, 9, 17], [22, 11, 1, 12], [12, 21, 13, 22], [2, 10, 3, 9]]]
[K11a112|[[4, 2, 5, 1], [22, 18, 1, 17], [10, 3, 11, 4], [2, 11, 3, 12], [18, 9, 19, 10], [12, 19, 13, 20], [14, 6, 15, 5], [16, 8, 17, 7], [6, 16, 7, 15], [20, 13, 21, 14], [8, 21, 9, 22]]]
[K11a113|[[4, 2, 5, 1], [22, 16, 1, 15], [10, 3, 11, 4], [2, 11, 3, 12], [16, 7, 17, 8], [18, 9, 19, 10], [8, 17, 9, 18], [12, 19, 13, 20], [14, 6, 15, 5], [20, 13, 21, 14], [6, 21, 7, 22]]]
[K11a114|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 6, 15, 5], [22, 16, 1, 15], [16, 12, 17, 11], [12, 22, 13, 21], [6, 14, 7, 13], [20, 17, 21, 18], [18, 7, 19, 8], [8, 19, 9, 20], [2, 10, 3, 9]]]
[K11a115|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 11, 21, 12], [18, 7, 19, 8], [14, 6, 15, 5], [12, 17, 13, 18], [6, 14, 7, 13], [8, 19, 9, 20], [22, 16, 1, 15], [16, 22, 17, 21], [2, 10, 3, 9]]]
[K11a116|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 6, 15, 5], [18, 8, 19, 7], [22, 16, 1, 15], [16, 22, 17, 21], [20, 11, 21, 12], [6, 18, 7, 17], [12, 19, 13, 20], [8, 14, 9, 13], [2, 10, 3, 9]]]
[K11a117|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 6, 15, 5], [18, 8, 19, 7], [20, 16, 21, 15], [16, 20, 17, 19], [22, 11, 1, 12], [6, 18, 7, 17], [12, 21, 13, 22], [8, 14, 9, 13], [2, 10, 3, 9]]]
[K11a118|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [14, 6, 15, 5], [20, 16, 21, 15], [18, 7, 19, 8], [6, 19, 7, 20], [22, 18, 1, 17], [16, 22, 17, 21], [8, 14, 9, 13]]]
[K11a119|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [14, 6, 15, 5], [20, 18, 21, 17], [18, 7, 19, 8], [6, 19, 7, 20], [22, 16, 1, 15], [16, 22, 17, 21], [8, 14, 9, 13]]]
[K11a120|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 13, 1, 14], [14, 5, 15, 6], [18, 7, 19, 8], [20, 17, 21, 18], [16, 21, 17, 22], [6, 15, 7, 16], [8, 19, 9, 20]]]
[K11a121|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 13, 1, 14], [14, 5, 15, 6], [20, 18, 21, 17], [8, 15, 9, 16], [6, 19, 7, 20], [18, 7, 19, 8], [16, 22, 17, 21]]]
[K11a122|[[4, 2, 5, 1], [22, 16, 1, 15], [10, 3, 11, 4], [2, 11, 3, 12], [16, 9, 17, 10], [18, 7, 19, 8], [8, 17, 9, 18], [12, 19, 13, 20], [14, 6, 15, 5], [20, 13, 21, 14], [6, 21, 7, 22]]]
[K11a123|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 8, 21, 7], [18, 14, 19, 13], [14, 6, 15, 5], [6, 18, 7, 17], [12, 20, 13, 19], [8, 12, 9, 11], [22, 16, 1, 15], [16, 22, 17, 21], [2, 10, 3, 9]]]
[K11a124|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 6, 15, 5], [22, 16, 1, 15], [16, 12, 17, 11], [20, 8, 21, 7], [18, 22, 19, 21], [12, 18, 13, 17], [6, 20, 7, 19], [8, 14, 9, 13], [2, 10, 3, 9]]]
[K11a125|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 11, 17, 12], [14, 5, 15, 6], [8, 15, 9, 16], [20, 8, 21, 7], [12, 22, 13, 21], [18, 14, 19, 13], [6, 20, 7, 19], [22, 17, 1, 18], [2, 10, 3, 9]]]
[K11a126|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 11, 17, 12], [8, 15, 9, 16], [6, 20, 7, 19], [14, 5, 15, 6], [20, 8, 21, 7], [18, 22, 19, 21], [22, 13, 1, 14], [12, 17, 13, 18], [2, 10, 3, 9]]]
[K11a127|[[4, 2, 5, 1], [10, 4, 11, 3], [22, 11, 1, 12], [14, 5, 15, 6], [6, 20, 7, 19], [20, 8, 21, 7], [8, 15, 9, 16], [16, 22, 17, 21], [18, 14, 19, 13], [12, 18, 13, 17], [2, 10, 3, 9]]]
[K11a128|[[4, 2, 5, 1], [14, 5, 15, 6], [10, 3, 11, 4], [2, 11, 3, 12], [12, 16, 13, 15], [16, 10, 17, 9], [20, 8, 21, 7], [22, 17, 1, 18], [18, 21, 19, 22], [8, 20, 9, 19], [6, 13, 7, 14]]]
[K11a129|[[4, 2, 5, 1], [22, 16, 1, 15], [10, 3, 11, 4], [2, 11, 3, 12], [16, 9, 17, 10], [12, 17, 13, 18], [14, 6, 15, 5], [18, 13, 19, 14], [8, 21, 9, 22], [20, 7, 21, 8], [6, 19, 7, 20]]]
[K11a130|[[4, 2, 5, 1], [20, 7, 21, 8], [10, 3, 11, 4], [2, 11, 3, 12], [14, 6, 15, 5], [16, 9, 17, 10], [22, 16, 1, 15], [12, 17, 13, 18], [18, 13, 19, 14], [8, 19, 9, 20], [6, 21, 7, 22]]]
[K11a131|[[4, 2, 5, 1], [14, 6, 15, 5], [10, 3, 11, 4], [2, 11, 3, 12], [20, 13, 21, 14], [16, 21, 17, 22], [18, 9, 19, 10], [8, 17, 9, 18], [12, 19, 13, 20], [22, 8, 1, 7], [6, 16, 7, 15]]]
[K11a132|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [6, 16, 7, 15], [20, 14, 21, 13], [18, 9, 19, 10], [8, 19, 9, 20], [22, 18, 1, 17], [14, 22, 15, 21]]]
[K11a133|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 6, 17, 5], [20, 11, 21, 12], [22, 18, 1, 17], [18, 22, 19, 21], [12, 19, 13, 20], [14, 8, 15, 7], [8, 14, 9, 13], [6, 16, 7, 15], [2, 10, 3, 9]]]
[K11a134|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 8, 15, 7], [22, 20, 1, 19], [20, 12, 21, 11], [12, 22, 13, 21], [8, 14, 9, 13], [18, 15, 19, 16], [16, 5, 17, 6], [6, 17, 7, 18], [2, 10, 3, 9]]]
[K11a135|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [22, 18, 1, 17], [14, 7, 15, 8], [8, 20, 9, 19], [6, 21, 7, 22], [18, 14, 19, 13], [20, 15, 21, 16]]]
[K11a136|[[4, 2, 5, 1], [14, 7, 15, 8], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [18, 9, 19, 10], [20, 15, 21, 16], [8, 13, 9, 14], [22, 18, 1, 17], [12, 19, 13, 20], [6, 21, 7, 22]]]
[K11a137|[[4, 2, 5, 1], [22, 18, 1, 17], [10, 3, 11, 4], [2, 11, 3, 12], [18, 9, 19, 10], [12, 19, 13, 20], [16, 6, 17, 5], [14, 8, 15, 7], [20, 13, 21, 14], [6, 16, 7, 15], [8, 21, 9, 22]]]
[K11a138|[[4, 2, 5, 1], [16, 5, 17, 6], [10, 3, 11, 4], [2, 11, 3, 12], [12, 18, 13, 17], [18, 10, 19, 9], [20, 14, 21, 13], [6, 21, 7, 22], [14, 8, 15, 7], [8, 20, 9, 19], [22, 15, 1, 16]]]
[K11a139|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 6, 17, 5], [18, 8, 19, 7], [20, 11, 21, 12], [22, 13, 1, 14], [12, 21, 13, 22], [6, 18, 7, 17], [14, 19, 15, 20], [8, 16, 9, 15], [2, 10, 3, 9]]]
[K11a140|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 6, 17, 5], [18, 8, 19, 7], [22, 11, 1, 12], [20, 13, 21, 14], [6, 18, 7, 17], [14, 19, 15, 20], [12, 21, 13, 22], [8, 16, 9, 15], [2, 10, 3, 9]]]
[K11a141|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [22, 18, 1, 17], [18, 7, 19, 8], [6, 21, 7, 22], [8, 14, 9, 13], [20, 15, 21, 16], [14, 19, 15, 20]]]
[K11a142|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [20, 13, 21, 14], [16, 5, 17, 6], [18, 7, 19, 8], [6, 17, 7, 18], [8, 19, 9, 20], [22, 15, 1, 16], [14, 21, 15, 22]]]
[K11a143|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [20, 13, 21, 14], [16, 5, 17, 6], [6, 19, 7, 20], [18, 7, 19, 8], [8, 17, 9, 18], [22, 15, 1, 16], [14, 21, 15, 22]]]
[K11a144|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [20, 15, 21, 16], [16, 5, 17, 6], [18, 7, 19, 8], [6, 17, 7, 18], [8, 19, 9, 20], [22, 13, 1, 14], [14, 21, 15, 22]]]
[K11a145|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [20, 15, 21, 16], [16, 5, 17, 6], [6, 19, 7, 20], [18, 7, 19, 8], [8, 17, 9, 18], [22, 13, 1, 14], [14, 21, 15, 22]]]
[K11a146|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 15, 1, 16], [16, 5, 17, 6], [18, 7, 19, 8], [6, 17, 7, 18], [8, 21, 9, 22], [20, 14, 21, 13], [12, 20, 13, 19]]]
[K11a147|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 6, 17, 5], [20, 8, 21, 7], [18, 13, 19, 14], [12, 17, 13, 18], [22, 11, 1, 12], [6, 20, 7, 19], [14, 21, 15, 22], [8, 16, 9, 15], [2, 10, 3, 9]]]
[K11a148|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [22, 18, 1, 17], [18, 14, 19, 13], [14, 22, 15, 21], [20, 8, 21, 7], [6, 16, 7, 15], [8, 20, 9, 19]]]
[K11a149|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [16, 6, 17, 5], [22, 18, 1, 17], [18, 14, 19, 13], [20, 7, 21, 8], [14, 20, 15, 19], [6, 21, 7, 22], [8, 16, 9, 15]]]
[K11a150|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [18, 13, 19, 14], [8, 17, 9, 18], [6, 21, 7, 22], [16, 5, 17, 6], [20, 7, 21, 8], [22, 15, 1, 16], [14, 19, 15, 20]]]
[K11a151|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 15, 1, 16], [16, 5, 17, 6], [20, 7, 21, 8], [6, 19, 7, 20], [8, 21, 9, 22], [18, 14, 19, 13], [12, 18, 13, 17]]]
[K11a152|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 15, 1, 16], [16, 5, 17, 6], [6, 21, 7, 22], [20, 7, 21, 8], [8, 19, 9, 20], [18, 14, 19, 13], [12, 18, 13, 17]]]
[K11a153|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 6, 19, 5], [20, 13, 21, 14], [22, 15, 1, 16], [14, 21, 15, 22], [16, 19, 17, 20], [12, 8, 13, 7], [8, 12, 9, 11], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a154|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 6, 19, 5], [22, 13, 1, 14], [20, 15, 21, 16], [16, 19, 17, 20], [14, 21, 15, 22], [12, 8, 13, 7], [8, 12, 9, 11], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a155|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 11, 17, 12], [12, 7, 13, 8], [8, 15, 9, 16], [20, 13, 21, 14], [6, 21, 7, 22], [18, 5, 19, 6], [14, 19, 15, 20], [22, 17, 1, 18], [2, 10, 3, 9]]]
[K11a156|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [20, 15, 21, 16], [18, 5, 19, 6], [6, 19, 7, 20], [22, 17, 1, 18], [16, 21, 17, 22], [14, 10, 15, 9], [8, 14, 9, 13]]]
[K11a157|[[4, 2, 5, 1], [12, 8, 13, 7], [10, 3, 11, 4], [2, 11, 3, 12], [20, 13, 21, 14], [18, 5, 19, 6], [6, 19, 7, 20], [22, 17, 1, 18], [14, 21, 15, 22], [16, 10, 17, 9], [8, 16, 9, 15]]]
[K11a158|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 11, 17, 12], [18, 5, 19, 6], [14, 7, 15, 8], [8, 15, 9, 16], [6, 19, 7, 20], [12, 22, 13, 21], [20, 14, 21, 13], [22, 17, 1, 18], [2, 10, 3, 9]]]
[K11a159|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 6, 19, 5], [22, 11, 1, 12], [20, 15, 21, 16], [16, 19, 17, 20], [12, 21, 13, 22], [14, 8, 15, 7], [8, 14, 9, 13], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a160|[[4, 2, 5, 1], [10, 4, 11, 3], [14, 7, 15, 8], [22, 11, 1, 12], [16, 22, 17, 21], [20, 14, 21, 13], [18, 5, 19, 6], [6, 19, 7, 20], [8, 15, 9, 16], [12, 18, 13, 17], [2, 10, 3, 9]]]
[K11a161|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [14, 8, 15, 7], [8, 14, 9, 13], [20, 15, 21, 16], [18, 5, 19, 6], [6, 19, 7, 20], [22, 17, 1, 18], [16, 21, 17, 22]]]
[K11a162|[[4, 2, 5, 1], [16, 10, 17, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 17, 1, 18], [18, 5, 19, 6], [14, 7, 15, 8], [6, 13, 7, 14], [8, 21, 9, 22], [20, 16, 21, 15], [12, 20, 13, 19]]]
[K11a163|[[4, 2, 5, 1], [14, 8, 15, 7], [10, 3, 11, 4], [2, 11, 3, 12], [22, 17, 1, 18], [18, 5, 19, 6], [6, 21, 7, 22], [16, 10, 17, 9], [20, 14, 21, 13], [8, 16, 9, 15], [12, 20, 13, 19]]]
[K11a164|[[4, 2, 5, 1], [22, 16, 1, 15], [10, 3, 11, 4], [2, 11, 3, 12], [16, 9, 17, 10], [12, 17, 13, 18], [14, 8, 15, 7], [18, 6, 19, 5], [6, 20, 7, 19], [20, 13, 21, 14], [8, 21, 9, 22]]]
[K11a165|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 6, 19, 5], [20, 11, 21, 12], [22, 13, 1, 14], [12, 21, 13, 22], [14, 19, 15, 20], [16, 8, 17, 7], [8, 16, 9, 15], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a166|[[4, 2, 5, 1], [10, 4, 11, 3], [18, 6, 19, 5], [22, 11, 1, 12], [20, 13, 21, 14], [14, 19, 15, 20], [12, 21, 13, 22], [16, 8, 17, 7], [8, 16, 9, 15], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a167|[[4, 2, 5, 1], [12, 10, 13, 9], [10, 3, 11, 4], [2, 11, 3, 12], [8, 14, 9, 13], [22, 17, 1, 18], [18, 5, 19, 6], [14, 20, 15, 19], [16, 8, 17, 7], [20, 16, 21, 15], [6, 21, 7, 22]]]
[K11a168|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [16, 8, 17, 7], [8, 16, 9, 15], [22, 17, 1, 18], [18, 5, 19, 6], [6, 21, 7, 22], [20, 14, 21, 13], [12, 20, 13, 19]]]
[K11a169|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 15, 1, 16], [18, 5, 19, 6], [8, 21, 9, 22], [16, 7, 17, 8], [6, 17, 7, 18], [20, 14, 21, 13], [12, 20, 13, 19]]]
[K11a170|[[4, 2, 5, 1], [10, 4, 11, 3], [16, 11, 17, 12], [18, 5, 19, 6], [8, 15, 9, 16], [14, 19, 15, 20], [20, 8, 21, 7], [6, 14, 7, 13], [12, 22, 13, 21], [22, 17, 1, 18], [2, 10, 3, 9]]]
[K11a171|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 8, 21, 7], [18, 5, 19, 6], [14, 19, 15, 20], [22, 11, 1, 12], [6, 14, 7, 13], [16, 22, 17, 21], [8, 15, 9, 16], [12, 18, 13, 17], [2, 10, 3, 9]]]
[K11a172|[[4, 2, 5, 1], [14, 10, 15, 9], [10, 3, 11, 4], [2, 11, 3, 12], [22, 8, 1, 7], [18, 5, 19, 6], [16, 22, 17, 21], [6, 17, 7, 18], [8, 16, 9, 15], [20, 14, 21, 13], [12, 20, 13, 19]]]
[K11a173|[[4, 2, 5, 1], [10, 4, 11, 3], [20, 6, 21, 5], [22, 15, 1, 16], [16, 21, 17, 22], [14, 8, 15, 7], [18, 13, 19, 14], [12, 19, 13, 20], [8, 12, 9, 11], [6, 18, 7, 17], [2, 10, 3, 9]]]
[K11a174|[[4, 2, 5, 1], [12, 4, 13, 3], [22, 13, 1, 14], [14, 5, 15, 6], [16, 7, 17, 8], [6, 15, 7, 16], [20, 17, 21, 18], [18, 10, 19, 9], [8, 20, 9, 19], [10, 21, 11, 22], [2, 12, 3, 11]]]
[K11a175|[[4, 2, 5, 1], [12, 4, 13, 3], [22, 13, 1, 14], [14, 5, 15, 6], [16, 7, 17, 8], [6, 15, 7, 16], [8, 21, 9, 22], [18, 10, 19, 9], [20, 18, 21, 17], [10, 20, 11, 19], [2, 12, 3, 11]]]
[K11a176|[[4, 2, 5, 1], [12, 4, 13, 3], [22, 13, 1, 14], [14, 5, 15, 6], [20, 15, 21, 16], [16, 8, 17, 7], [6, 20, 7, 19], [18, 10, 19, 9], [8, 18, 9, 17], [10, 21, 11, 22], [2, 12, 3, 11]]]
[K11a177|[[4, 2, 5, 1], [12, 4, 13, 3], [22, 13, 1, 14], [14, 5, 15, 6], [6, 21, 7, 22], [16, 8, 17, 7], [20, 16, 21, 15], [18, 10, 19, 9], [8, 18, 9, 17], [10, 20, 11, 19], [2, 12, 3, 11]]]
